Partner_Description,Hiscox_COB,full_industry_code
Farm Supplies Merchant Wholesalers,OOA,0
Farmer,OOA,0
Fats and Oils Refining and Blending,OOA,0
Fence Distributor,OOA,0
Fence Installation,Fence installation and repair,23899000_47403100_00000000
Fertilizer Manufacturing,OOA,0
Financial Planners and Registered Investment Advisor,Investment advice,52393000_13205200_02000000
First Aid / CPR Training,First aid and CPR training,61169900_21109100_00000000
Fishery,OOA,0
Fitness and Recreational Sports Centers,OOA,0
Fitness Instructor,Personal training (health and fitness),61169900_29909100_01000000
Flight Training,OOA,0
Floor Covering Distributor,OOA,0
Floor Covering Installation,Floor covering installation (no ceramic tile/stone),23833000_47204200_01000000
Floor Waxing,Janitorial/cleaning services,56172000_37201100_01000000
Floriculture Production,OOA,0
Florist Distributor,OOA,0
"Florist, Flower Shop",Florists,45311000_27102300_00000000
Food Bank / Soup Kitchens,OOA,0
Food Service Contractor,OOA,0
Food Truck / Trailer,Food truck/trailer operator,72233000_11101100_03000000
Food Vendor / Concession Stand,Mobile food services,72233000_11101100_10000000
For-Hire Trucking Operations,OOA,0
Forestry and Logging,OOA,0
Forestry Consulting,OOA,0
Forging and Stamping,OOA,0
Foster Care Center,OOA,0
Foundries,OOA,0
Frame or Unibody Straightening,OOA,0
Freight Forwarders,OOA,0
Fruits & Vegetables – Frozen Manufacturing,OOA,0
Fuel Conversion,OOA,0
Fundraising Consulting,Strategy consultant,54161100_13111100_07000000
Funeral Directors,Funeral homes,81221000_11101100_00000000
Furniture Distributor,OOA,0
Furniture or Fixtures Installation,Furniture and fixture installation,23839000_49909900_01000000
Furniture Store,Home furnishing stores,44229900_11101100_00000007
Furniture Store - Office,Furniture  & Fixture Stores,44211000_11101100_00000001
Gambling Industries,OOA,0
Game Preserve,OOA,0
Game Puzzles Vendor,OOA,0
"Garbage, Ash or Refuse Collecting",OOA,0
Gasoline Station – Full Service,OOA,0
Gasoline Station – Self Service,OOA,0
Genealogy / Heritage Consulting,Other consulting services,54161100_13111100_05000000
General Contractor,General Contractor - Construction and installation only,23622000_15420000_01000000
General Merchandise Store,General Merchandise Stores,45231900_11101100_00000001
Geophysical Surveying and Mapping Services,OOA,0
Geothermal Electric Power Generation,OOA,0
Gifts Distributor,OOA,0
Gifts or Collectibles (i.e. Greeting Card Store),"Gift, Greeting Card Novelty, & Souvenirs",45322000_11101100_00000004
Glass / Glazier,Glass installation and repair (no auto work),23815000_47212100_01000000
